bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
deepfreeze.style3,vtr,3,200,200,120,12,71.78,,,42.23556184768677,True,751452,7.25624,137.812,
deepfreeze.style3,vtr,4,200,200,120,12,72.06,,,43.03614401817322,True,765521,8.14754,122.736,
deepfreeze.style3,vtr,5,200,200,120,12,71.14,,,42.98666715621948,True,764674,7.8809,126.889,
deepfreeze.style3,vtr,6,200,200,120,12,71.94,,,43.18839979171753,True,754614,7.55928,132.288,
deepfreeze.style3,vtr,7,200,200,120,12,71.54,,,43.43983483314514,True,751534,7.80011,128.203,
deepfreeze.style3,vtr,8,200,200,120,12,71.46,,,43.4377543926239,True,784159,7.31997,136.613,
deepfreeze.style3,vtr,9,200,200,120,12,71.31,,,42.33511137962341,True,758147,7.57996,131.927,
deepfreeze.style1,soph,0,200,200,130,1,1.5995,0.2841,1.2906,65.27849292755127,True,879080,9.54335,104.785,
deepfreeze.style1,soph,1,200,200,130,1,1.6126,0.2846,1.3032,46.04056906700134,True,901369,8.84198,113.097,
deepfreeze.style1,soph,2,200,200,130,1,1.6356,0.2972,1.3128,45.38923096656799,True,880752,9.73201,102.754,
deepfreeze.style1,soph,3,200,200,130,1,1.6467,0.2953,1.3258,45.79103064537048,True,868374,8.54041,117.09,
deepfreeze.style1,soph,4,200,200,130,1,1.5444,0.2931,1.2256,45.44018244743347,True,897448,9.4202,106.155,
deepfreeze.style1,soph,5,200,200,130,1,1.604,0.2868,1.2922,44.43727993965149,True,871003,10.0381,99.6202,
deepfreeze.style1,soph,6,200,200,130,1,1.6154,0.2913,1.2988,45.54510855674744,True,872090,8.84752,113.026,
deepfreeze.style1,soph,7,200,200,130,1,1.6176,0.2949,1.2973,44.54266023635864,True,881627,9.20396,108.649,
deepfreeze.style1,soph,8,200,200,130,1,1.6331,0.292,1.3156,45.53824472427368,True,895264,9.38742,106.526,
deepfreeze.style1,soph,9,200,200,130,1,1.5811,0.2964,1.2595,44.78872632980347,True,879021,10.0226,99.7743,
