bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
rendering_rasterization2_m,full,9,35,35,76,0.0127,0.0097,0.0022,1.3658483028411865,True,46761,6.50662,153.69,
rendering_rasterization2_m,vtr,0,35,35,76,1.42,,,1.3661980628967285,True,45752,6.51769,153.429,
rendering_rasterization2_m,vtr,1,35,35,76,1.39,,,1.366044044494629,True,45143,6.39377,156.402,
rendering_rasterization2_m,vtr,2,35,35,76,1.42,,,1.3666303157806396,True,44871,6.25824,159.789,
rendering_rasterization2_m,vtr,3,35,35,76,1.42,,,1.366246223449707,True,46342,6.51105,153.585,
rendering_rasterization2_m,vtr,4,35,35,76,1.47,,,1.3159637451171875,True,45564,6.26156,159.705,
rendering_rasterization2_m,vtr,5,35,35,76,1.45,,,1.366654634475708,True,45741,6.39266,156.429,
rendering_rasterization2_m,vtr,6,35,35,76,1.47,,,1.3663129806518555,True,46963,6.2516,159.959,
rendering_rasterization2_m,vtr,7,35,35,76,1.4,,,1.36604642868042,True,44124,6.36334,157.15,
rendering_rasterization2_m,vtr,8,35,35,76,1.4,,,1.3661892414093018,True,46279,6.25713,159.818,
rendering_rasterization2_m,vtr,9,35,35,76,1.45,,,1.315894603729248,True,43987,6.39488,156.375,
rendering_zculling_bot,full,0,35,35,68,0.0094,0.0074,0.0016,1.2656688690185547,True,36607,5.64139,177.261,
rendering_zculling_bot,full,1,35,35,68,0.01,0.0079,0.0016,1.1156103610992432,True,35157,5.60954,178.268,
rendering_zculling_bot,full,2,35,35,68,0.0098,0.0077,0.0016,1.1155614852905273,True,36532,5.67471,176.22,
rendering_zculling_bot,full,3,35,35,68,0.0093,0.0073,0.0016,1.0655577182769775,True,35158,5.73346,174.415,
rendering_zculling_bot,full,4,35,35,68,0.0097,0.0076,0.0016,1.1155929565429688,True,37662,5.49425,182.008,
rendering_zculling_bot,full,5,35,35,68,0.0093,0.0074,0.0015,1.115638256072998,True,36344,5.75338,173.811,
rendering_zculling_bot,full,6,35,35,68,0.0097,0.0077,0.0015,1.115483045578003,True,35196,5.74739,173.992,
rendering_zculling_bot,full,7,35,35,68,0.0092,0.0072,0.0015,1.0653855800628662,True,35480,5.93127,168.598,
rendering_zculling_bot,full,8,35,35,68,0.0097,0.0076,0.0016,1.0655064582824707,True,35355,5.92573,168.756,
rendering_zculling_bot,full,9,35,35,68,0.0098,0.0077,0.0016,1.0654664039611816,True,35630,5.63585,177.435,
rendering_zculling_bot,vtr,0,35,35,68,1.03,,,1.1157383918762207,True,35434,5.75583,173.737,
rendering_zculling_bot,vtr,1,35,35,68,1.05,,,1.1156139373779297,True,35231,5.47401,182.681,
rendering_zculling_bot,vtr,2,35,35,68,1.0,,,1.115929365158081,True,34294,5.56308,179.757,
rendering_zculling_bot,vtr,3,35,35,68,0.94,,,1.1661932468414307,True,34562,5.79906,172.442,
rendering_zculling_bot,vtr,4,35,35,68,1.05,,,1.1660864353179932,True,35589,5.47397,182.683,
rendering_zculling_bot,vtr,5,35,35,68,1.04,,,1.0654795169830322,True,34686,5.59461,178.743,
rendering_zculling_bot,vtr,6,35,35,68,1.02,,,1.06545090675354,True,34232,5.59937,178.591,
rendering_zculling_bot,vtr,7,35,35,68,1.07,,,1.1157176494598389,True,34159,5.77803,173.069,
rendering_zculling_bot,vtr,8,35,35,68,1.02,,,1.1157689094543457,True,35767,5.61297,178.159,
rendering_zculling_bot,vtr,9,35,35,68,0.99,,,1.0659334659576416,True,34863,5.63531,177.452,
sha,full,0,35,35,54,0.0075,0.0058,0.0013,0.8650956153869629,True,15996,13.9245,71.8161,
sha,full,1,35,35,54,0.0076,0.006,0.0013,0.6646487712860107,True,15801,13.5709,73.6871,
sha,full,2,35,35,54,0.0066,0.005,0.0013,0.714775800704956,True,15949,14.0904,70.9702,
sha,full,3,35,35,54,0.0068,0.0053,0.0013,0.7151429653167725,True,16392,13.79,72.5161,
sha,full,4,35,35,54,0.0072,0.0056,0.0012,0.7148075103759766,True,16033,13.8364,72.273,
sha,full,5,35,35,54,0.0069,0.0053,0.0013,0.6647112369537354,True,16269,14.2099,70.3734,
sha,full,6,35,35,54,0.0071,0.0055,0.0013,0.715399980545044,True,15783,14.0473,71.1882,
sha,full,7,35,35,54,0.0071,0.0056,0.0012,0.7151963710784912,True,15915,14.1423,70.7097,
sha,full,8,35,35,54,0.0074,0.0058,0.0013,0.7152018547058105,True,16036,13.9234,71.8218,
sha,full,9,35,35,54,0.0075,0.0059,0.0013,0.7148282527923584,True,16325,13.7369,72.7965,
sha,vtr,0,35,35,54,0.54,,,0.714707612991333,True,15283,13.8458,72.2238,
sha,vtr,1,35,35,54,0.46,,,0.7148129940032959,True,15781,14.528,68.8326,
sha,vtr,2,35,35,54,0.52,,,0.7153820991516113,True,15632,14.0517,71.1658,
sha,vtr,3,35,35,54,0.49,,,0.6646993160247803,True,15304,13.7889,72.5219,
sha,vtr,4,35,35,54,0.48,,,0.7150580883026123,True,15644,14.5717,68.6262,
sha,vtr,5,35,35,54,0.53,,,0.7150182723999023,True,15533,13.8653,72.1226,
sha,vtr,6,35,35,54,0.55,,,0.7152118682861328,True,15390,14.2796,70.0299,
sha,vtr,7,35,35,54,0.51,,,0.6653788089752197,True,15065,14.424,69.3289,
sha,vtr,8,35,35,54,0.52,,,0.7149772644042969,True,15442,13.7303,72.8317,
sha,vtr,9,35,35,54,0.5,,,0.664900541305542,True,15106,13.9162,71.8588,
spam_filter_data_1_4_2,full,0,35,35,70,0.0111,0.0086,0.0019,1.4163038730621338,True,39721,5.61079,178.228,
spam_filter_data_1_4_2,full,1,35,35,70,0.0113,0.0089,0.0018,1.2661409378051758,True,39720,5.59586,178.704,
spam_filter_data_1_4_2,full,2,35,35,70,0.0121,0.0096,0.0019,1.215634822845459,True,39221,5.76457,173.473,
spam_filter_data_1_4_2,full,3,35,35,70,0.0109,0.0084,0.0019,1.2156901359558105,True,40379,5.81248,172.044,
spam_filter_data_1_4_2,full,4,35,35,70,0.0116,0.009,0.0021,1.2158825397491455,True,39659,5.6025,178.492,
spam_filter_data_1_4_2,full,5,35,35,70,0.0104,0.0078,0.0021,1.21555757522583,True,39629,5.73758,174.29,
spam_filter_data_1_4_2,full,6,35,35,70,0.0108,0.0084,0.0019,1.2156226634979248,True,39648,6.13199,163.079,
spam_filter_data_1_4_2,full,7,35,35,70,0.0116,0.0091,0.0019,1.1659626960754395,True,39311,5.88196,170.011,
spam_filter_data_1_4_2,full,8,35,35,70,0.011,0.0084,0.002,1.1655418872833252,True,39139,6.13497,163.0,
spam_filter_data_1_4_2,full,9,35,35,70,0.0118,0.0092,0.002,1.2157504558563232,True,40202,5.76182,173.556,
spam_filter_data_1_4_2,vtr,0,35,35,70,1.33,,,1.2156217098236084,True,39575,5.45267,183.396,
spam_filter_data_1_4_2,vtr,1,35,35,70,1.24,,,1.2158114910125732,True,39319,5.70604,175.253,
spam_filter_data_1_4_2,vtr,2,35,35,70,1.28,,,1.2156977653503418,True,38952,5.44429,183.679,
spam_filter_data_1_4_2,vtr,3,35,35,70,1.29,,,1.215878963470459,True,38484,5.37933,185.897,
spam_filter_data_1_4_2,vtr,4,35,35,70,1.28,,,1.2160985469818115,True,38806,5.32489,187.797,
spam_filter_data_1_4_2,vtr,5,35,35,70,1.24,,,1.2659659385681152,True,39578,5.32069,187.946,
spam_filter_data_1_4_2,vtr,6,35,35,70,1.25,,,1.1657397747039795,True,39259,5.6986,175.482,
spam_filter_data_1_4_2,vtr,7,35,35,70,1.26,,,1.215867042541504,True,39284,5.31935,187.993,
spam_filter_data_1_4_2,vtr,8,35,35,70,1.32,,,1.215989112854004,True,38330,5.47481,182.655,
spam_filter_data_1_4_2,vtr,9,35,35,70,1.24,,,1.2157063484191895,True,38994,5.61255,178.172,
spam_filter_dotProduct_1,full,0,35,35,68,0.012,0.0092,0.0023,1.4661715030670166,True,38287,7.05267,141.79,
spam_filter_dotProduct_1,full,1,35,35,68,0.0121,0.0095,0.0021,1.215662956237793,True,37971,6.89358,145.062,
spam_filter_dotProduct_1,full,2,35,35,68,0.0113,0.0085,0.0023,1.2658874988555908,True,39299,6.64662,150.452,
spam_filter_dotProduct_1,full,3,35,35,68,0.0117,0.0089,0.0022,1.2665870189666748,True,40215,6.91603,144.592,
spam_filter_dotProduct_1,full,4,35,35,68,0.0117,0.0089,0.0023,1.2156379222869873,True,39144,6.81558,146.723,
spam_filter_dotProduct_1,full,5,35,35,68,0.0116,0.0089,0.0022,1.1658737659454346,True,38704,7.0582,141.679,
spam_filter_dotProduct_1,full,6,35,35,68,0.0116,0.0089,0.0022,1.2161059379577637,True,38647,7.20977,138.701,
spam_filter_dotProduct_1,full,7,35,35,68,0.0115,0.0089,0.0021,1.2159132957458496,True,38248,7.07867,141.269,
spam_filter_dotProduct_1,full,8,35,35,68,0.0115,0.0088,0.0021,1.2162237167358398,True,38857,7.00178,142.821,
spam_filter_dotProduct_1,full,9,35,35,68,0.0114,0.0086,0.0022,1.1656317710876465,True,39279,7.34476,136.152,
spam_filter_dotProduct_1,vtr,0,35,35,68,1.18,,,1.2165136337280273,True,37508,6.79654,147.134,
spam_filter_dotProduct_1,vtr,1,35,35,68,1.12,,,1.2158868312835693,True,37648,6.93871,144.119,
