bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
or1200,vtr_bb,0,35,35,86,2.43,,,1.1658036708831787,True,46970,15.278,65.4538,
or1200,vtr_bb,1,35,35,86,2.43,,,1.1660277843475342,True,47119,15.5634,64.2533,
or1200,vtr_bb,2,35,35,86,2.44,,,1.165940761566162,True,46732,15.5911,64.1393,
or1200,vtr_bb,3,35,35,86,2.36,,,1.1658856868743896,True,47304,15.1402,66.0493,
or1200,vtr_bb,4,35,35,86,2.38,,,1.1658210754394531,True,47466,15.9932,62.5264,
or1200,vtr_bb,5,35,35,86,2.54,,,1.1658267974853516,True,47134,15.4257,64.827,
or1200,vtr_bb,6,35,35,86,2.5,,,1.115678310394287,True,47389,15.1303,66.0927,
or1200,vtr_bb,7,35,35,86,2.31,,,1.1659314632415771,True,46666,15.5922,64.1347,
or1200,vtr_bb,8,35,35,86,2.52,,,1.166008710861206,True,47232,15.4268,64.8224,
or1200,vtr_bb,9,35,35,86,2.37,,,1.1664977073669434,True,47150,15.1579,65.9721,
raygentop,full,0,35,35,60,0.0042,0.0029,0.001,0.9653983116149902,True,27508,5.61839,177.987,
raygentop,full,1,35,35,60,0.0019,0.0006,0.001,0.8155221939086914,True,33634,6.91728,144.565,
raygentop,full,2,35,35,60,0.0041,0.0028,0.001,0.8149886131286621,True,27697,5.56299,179.759,
raygentop,full,3,35,35,60,0.0048,0.0035,0.001,0.8150515556335449,True,27338,5.20421,192.152,
raygentop,full,4,35,35,60,0.0055,0.0041,0.0011,0.8155002593994141,True,26851,5.29193,188.967,
raygentop,full,5,35,35,60,0.0045,0.0032,0.001,0.8151059150695801,True,27474,5.27312,189.641,
raygentop,full,6,35,35,60,0.0061,0.0048,0.001,0.8153235912322998,True,27103,5.44239,183.743,
raygentop,full,7,35,35,60,0.0056,0.0043,0.0011,0.8155636787414551,True,26546,5.22674,191.324,
raygentop,full,8,35,35,60,0.0068,0.0055,0.001,0.8149440288543701,True,26791,5.40368,185.059,
raygentop,full,9,35,35,60,0.0038,0.0025,0.001,0.8152241706848145,True,27716,5.67363,176.254,
raygentop,vtr_bb,0,35,35,60,1.05,,,0.7654848098754883,True,25001,5.47733,182.571,
raygentop,vtr_bb,1,35,35,60,1.04,,,0.8152334690093994,True,25223,5.53929,180.529,
raygentop,vtr_bb,2,35,35,60,1.12,,,0.7653520107269287,True,25434,5.53376,180.709,
raygentop,vtr_bb,3,35,35,60,0.99,,,0.8156285285949707,True,25471,5.50776,181.562,
raygentop,vtr_bb,4,35,35,60,1.07,,,0.8153057098388672,True,25383,5.24942,190.497,
raygentop,vtr_bb,5,35,35,60,1.11,,,0.7652626037597656,True,25105,5.6715,176.32,
raygentop,vtr_bb,6,35,35,60,1.08,,,0.7652270793914795,True,25429,5.81478,171.976,
raygentop,vtr_bb,7,35,35,60,1.11,,,0.815251350402832,True,25189,5.54593,180.312,
raygentop,vtr_bb,8,35,35,60,0.98,,,0.8153228759765625,True,25616,5.64053,177.288,
raygentop,vtr_bb,9,35,35,60,1.1,,,0.8156883716583252,True,25296,5.67371,176.251,
rendering_rasterization2_m,full,0,35,35,76,0.0121,0.0091,0.0023,1.6665289402008057,True,47143,6.40041,156.24,
rendering_rasterization2_m,full,1,35,35,76,0.0126,0.0097,0.0022,1.3659987449645996,True,45572,6.2663,159.584,
rendering_rasterization2_m,full,2,35,35,76,0.0128,0.0098,0.0023,1.366525650024414,True,45749,6.51879,153.403,
rendering_rasterization2_m,full,3,35,35,76,0.0132,0.0102,0.0023,1.416663646697998,True,45886,6.3722,156.932,
rendering_rasterization2_m,full,4,35,35,76,0.0119,0.0089,0.0022,1.3162627220153809,True,46326,6.40041,156.24,
rendering_rasterization2_m,full,5,35,35,76,0.0127,0.0096,0.0023,1.36622953414917,True,44702,6.36666,157.068,
rendering_rasterization2_m,full,6,35,35,76,0.0131,0.0102,0.0022,1.416031837463379,True,46923,6.52322,153.298,
rendering_rasterization2_m,full,7,35,35,76,0.0128,0.0097,0.0024,1.3662824630737305,True,46515,6.39243,156.435,
rendering_rasterization2_m,full,8,35,35,76,0.0127,0.0097,0.0023,1.3664462566375732,True,45342,6.3993,156.267,
rendering_rasterization2_m,full,9,35,35,76,0.0129,0.0099,0.0024,1.4165914058685303,True,46761,6.50662,153.69,
rendering_rasterization2_m,vtr_bb,0,35,35,76,0.74,,,1.416405200958252,True,45758,6.54701,152.742,
rendering_rasterization2_m,vtr_bb,1,35,35,76,0.75,,,1.3669829368591309,True,44993,6.25713,159.818,
rendering_rasterization2_m,vtr_bb,2,35,35,76,0.72,,,1.3662083148956299,True,45681,6.37109,156.959,
rendering_rasterization2_m,vtr_bb,3,35,35,76,0.73,,,1.3662772178649902,True,46061,6.52464,153.265,
rendering_rasterization2_m,vtr_bb,4,35,35,76,0.75,,,1.4167706966400146,True,47578,6.36998,156.986,
rendering_rasterization2_m,vtr_bb,5,35,35,76,0.76,,,1.3168389797210693,True,43906,6.40484,156.132,
rendering_rasterization2_m,vtr_bb,6,35,35,76,0.77,,,1.4167282581329346,True,45083,6.50994,153.611,
rendering_rasterization2_m,vtr_bb,7,35,35,76,0.76,,,1.3663675785064697,True,44480,6.38216,156.687,
rendering_rasterization2_m,vtr_bb,8,35,35,76,0.72,,,1.3663554191589355,True,43599,6.36223,157.177,
rendering_rasterization2_m,vtr_bb,9,35,35,76,0.76,,,1.3662657737731934,True,43960,6.36113,157.205,
rendering_zculling_bot,full,0,35,35,68,0.0096,0.0075,0.0016,1.3158771991729736,True,36607,5.64139,177.261,
rendering_zculling_bot,full,1,35,35,68,0.0102,0.0081,0.0017,1.1660358905792236,True,35157,5.60954,178.268,
