bench,config,seed,W,H,cw,threads,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
digit_recognition_update_knn2,vtr,5,35,35,80,12,2.37,,,1.9674270153045654,True,70102,5.04418,198.248,
digit_recognition_update_knn2,vtr,6,35,35,80,12,2.61,,,2.018477201461792,True,70956,5.11324,195.571,
digit_recognition_update_knn2,vtr,7,35,35,80,12,2.55,,,2.0174624919891357,True,71546,5.12431,195.148,
digit_recognition_update_knn2,vtr,8,35,35,80,12,2.58,,,1.9180166721343994,True,69674,5.20571,192.097,
digit_recognition_update_knn2,vtr,9,35,35,80,12,2.63,,,2.017749786376953,True,68753,5.17417,193.268,
mkSMAdapter4B,soph,0,35,35,54,1,0.0178,0.005,0.0123,0.8652217388153076,True,19368,5.93645,168.451,
mkSMAdapter4B,soph,1,35,35,54,1,0.0265,0.0073,0.0186,0.8149664402008057,True,18645,6.08304,164.391,
mkSMAdapter4B,soph,2,35,35,54,1,0.0308,0.0087,0.0214,0.7148363590240479,True,18567,5.87024,170.351,
mkSMAdapter4B,soph,3,35,35,54,1,0.0252,0.0072,0.0174,0.7147989273071289,True,18586,5.7894,172.729,
mkSMAdapter4B,soph,4,35,35,54,1,0.025,0.007,0.0175,0.7150585651397705,True,18530,5.78441,172.879,
mkSMAdapter4B,soph,5,35,35,54,1,0.0312,0.0086,0.0219,0.7147984504699707,True,18747,5.86802,170.415,
mkSMAdapter4B,soph,6,35,35,54,1,0.0238,0.0066,0.0166,0.765526533126831,True,18924,5.93866,168.388,
mkSMAdapter4B,soph,7,35,35,54,1,0.0263,0.0076,0.018,0.7149357795715332,True,18689,5.93423,168.514,
mkSMAdapter4B,soph,8,35,35,54,1,0.0219,0.0061,0.0152,0.7148580551147461,True,18341,6.21747,160.837,
mkSMAdapter4B,soph,9,35,35,54,1,0.0296,0.0086,0.0204,0.7150096893310547,True,18823,5.86581,170.479,
mkSMAdapter4B,vtr,0,35,35,54,12,1.4,,,0.7152881622314453,True,18045,6.08194,164.421,
mkSMAdapter4B,vtr,1,35,35,54,12,1.44,,,0.7150487899780273,True,18072,6.0037,166.564,
mkSMAdapter4B,vtr,2,35,35,54,12,1.49,,,0.7151529788970947,True,17898,5.95853,167.827,
mkSMAdapter4B,vtr,3,35,35,54,12,1.44,,,0.7151322364807129,True,17910,5.86042,170.636,
mkSMAdapter4B,vtr,4,35,35,54,12,1.48,,,0.7156081199645996,True,17614,6.00466,166.537,
mkSMAdapter4B,vtr,5,35,35,54,12,1.42,,,0.7651457786560059,True,18425,5.83209,171.465,
mkSMAdapter4B,vtr,6,35,35,54,12,1.45,,,0.7150304317474365,True,18001,5.87909,170.094,
mkSMAdapter4B,vtr,7,35,35,54,12,1.43,,,0.664963960647583,True,17886,5.98311,167.137,
mkSMAdapter4B,vtr,8,35,35,54,12,1.43,,,0.6655023097991943,True,17902,6.14904,162.627,
mkSMAdapter4B,vtr,9,35,35,54,12,1.43,,,0.7153377532958984,True,17938,6.0048,166.533,
